PriceUpdateDate,ItemCode,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,blsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
2025-06-19,4801234159863,גלייד מיני גל ניחוח חבצלות,דיפלומט,,מבשם ג'ל בניחוח מרכך כביסה חבצלות,גרם,70.00,100 גרם,0,1.00,9.90,0.00,1,0
2025-07-17,7290017440309,דר פישר קידס שמפו ויטמינים 750 מל,מדי פישר,ישראל,KIDS שמפו ויטמינים,מיליליטר,750.00,"100 מ""ל",0,1.00,18.90,0.00,1,0
2025-07-24,7290118208914,לייף סוייס מארז קיסמי מברשת אינטרדנטלים,אידיאל,סין,סוויס מארז קיסמי מברשת אינטרדנטלים גמישים,,36.00,0.00,0,1.00,44.90,1.24,1,0
2025-05-18,7290112492715,פינוק לילדים שמפו ללא דמעות לסירוק קל,יוניליוור,ישראל,שמפו ללא דמעות לילדים,מיליליטר,700.00,"100 מ""ל",0,1.00,19.90,0.00,1,0
2025-04-09,7298074501933,בליסטקס משחה טיפולית לשפתיים בטעם דובדבן,מדיליין פריגו,ארצות הברית,משחה טיפולית לשפתיים SPF 15 בטעם דובדבן,,0.00,0.00,0,1.00,33.90,33.90,1,0
2025-06-03,7622202262593,מילקה שוקולד חלב עם אגוזים 90 גרם כשלפ,דיפלומט,גרמניה,שוקולד חלב עם אגוזים כשר לפסח,גרם,90.00,100 גרם,0,1.00,13.90,0.00,1,0
2025-04-20,5713795200689,BIBS מוצץ סיליקון DE LUX שמנת ירוק,איתן,דנמרק,מוצץ סיליקון ONE SIZE DE LUX,,2.00,0.00,0,1.00,79.90,39.95,1,0
2025-07-24,7290114965187,לייף טבליות לתותבות 40 יחידות,זר הייטק,,טבליות לתותבות,,40.00,0.00,0,1.00,33.90,0.84,1,0
2025-04-09,8006540858509,טמפקס טמפונים פלאש רגולר 18 יחידות,דיפלומט,הונגריה,טמפונים עם מוליך קרטון - רגולר,,18.00,0.00,0,1.00,21.90,1.21,1,0
2025-04-09,7290000187921,לילי PURE נ.ט. לבן 32 גלילים,חוגלה,,PURE נייר טואלט דו שכבתי בגוון לבן - 150 דף בגליל במקום 155 דף בגליל,מטרים,552.00,100 מטר,0,1.00,46.90,0.00,1,0
2025-04-09,7290001973332,קמיל בלו סנסטיב מגבונים לפנים דיספנסר 60,General,,סנסיטיב מגבוני פנים לתינוק,,60.00,0.00,0,1.00,9.00,0.15,1,0
2025-04-23,7290016299625,ארגניה מסכת קיק ללא שטיפה 250 מל,ארגניה,ישראל,מסכת קיק ללא שטיפה,מיליליטר,250.00,"100 מ""ל",0,1.00,50.90,0.00,1,0
2025-07-07,800897215361,ניקס ריסים מלאכותיים לשימוש רב פעמי למרא,לוריאל,סין,JUMBO LASH ריסים מלאכותיים לשימוש רב פעמי למראה ריסים טבעי מלא בנפח,,0.00,0.00,0,1.00,60.00,60.00,1,0
2025-08-26,3600523428663,לוריאל רויטליפט לייזר קרם יום,לוריאל,,REVITALIFT LASER קרם פנים ליום להפחתת מראה קמטים,מיליליטר,50.00,"100 מ""ל",0,1.00,111.00,0.02,1,0
2025-04-09,7610458010723,פלקסי גריפ 1072 1.7 ממ,סיראם,,פלקסי גריפ מברשת ספירלית,,4.00,0.00,0,1.00,45.90,11.47,1,0
2025-08-15,8700216890946,פמפרס פרימיום חיתולים שלב 4 28 יח,דיפלומט,פולין,חיתולים מידה 4,,28.00,0.00,0,1.00,48.90,1.74,1,0
2025-06-01,30095076,אססי לק מספר 05,לוריאל,,לק מקצועי ALLURE 5,,0.00,0.00,0,1.00,46.00,46.00,1,0
2025-04-29,7290010035991,פלוריש ויטמין D-1000 טאבס בריכוז מוגבר,פלוריש,ישראל,D-TABS די-טאבס 1000IU בריכוז מוגבר,,90.00,0.00,0,1.00,36.90,0.41,1,0
2025-04-29,7290001692073,תמר שיווק חמאת שיאה 50 מל,תמר שיווק,ישראל,חמאת שיאה,מיליליטר,50.00,"100 מ""ל",0,1.00,53.90,0.01,1,0
2025-07-01,4005900036483,ניוואה דאו ספריי לגבר שקוף בלק&וויט,General,,דאודורנט ספריי בלאק אנד וויט לגבר,מיליליטר,150.00,"100 מ""ל",0,1.00,21.90,0.00,1,0
2025-03-31,7290113840652,לייף וולנס חטיף בוטנים שקדים תפוח דבש*5,ספץ תעשיות,ישראל,חטיף שקדים תפוח צימוקים בוטנים דבש וקינמון,,5.00,0.00,0,1.00,15.90,3.18,1,0
2025-04-24,7290115660678,סבוקלם דרמו קר שפתון ח.שיאה אבטיח 8 מל,טטרה פארם,,דרמו קר שפתון חמאת שיאה אבטיח,מיליליטר,8.00,"100 מ""ל",0,1.00,30.90,0.03,1,0
2025-04-25,7290118201922,לייף טישו קופסא 150 יחידות,לייף,ישראל,טישו 3 שכבות אולטרה סופט,,150.00,0.00,0,1.00,11.90,0.07,1,0
2025-03-27,3600542591621,גרניה אוליה צבע שיער קבוע 6.3 ללא אמוניה,לוריאל,בלגיה,צבע לשיער קבוע ללא אמוניה 6.3,,0.00,0.00,0,1.00,42.90,42.90,1,0
2025-04-29,7290002075271,ריקולה סוכריות שקית 70 גרם צמחים,שוקוטרייד,,סוכריות צמחים שוויצרי,גרם,70.00,100 גרם,0,1.00,15.00,0.00,1,0
2025-04-29,7290008533997,הדס פרוביוטיקה פלוס 60 כמוסות,פלוריש,,פרוביוטיקה פלוס,,60.00,0.00,0,1.00,94.90,1.58,1,0
2025-07-17,192333125113,קליניק סמארט קרם לחות לעור יבש עד יבש מא,אלקליל,בלגיה,SMART קרם לחות לעור יבש עד יבש מאוד,מיליליטר,50.00,"100 מ""ל",0,1.00,425.00,0.08,1,0
2025-04-09,5202300043151,קולסטון 2000 8/0 בלונד בהיר חדש,General,,קרם צבע שיער בלונד בהיר 8/0,מיליליטר,60.00,"100 מ""ל",0,1.00,29.90,0.00,1,0
